reviews_augmented
id;отзыв;labels
ex_000268;Честно говоря, сборка слабая, детали люфтят, ощущается дешевым товаром.;"[""Низкое качество материала""]"
ex_000269;По итогу, края обработаны плохо, видны кривые строчки. Возврат.;"[""Низкое качество материала""]"
ex_000270;В моем случае, швы кривые, нитки торчат, сделано неаккуратно. Больше не закажу.;"[""Низкое качество материала""]"
ex_000271;После пары использований появились катышки и затяжки. Очень жаль.;"[""Низкое качество материала""]"
ex_000272;К сожалению, материал у носков очень тонкий и неприятный, выглядит дешево. Для меня это минус.;"[""Низкое качество материала""]"
ex_000273;Честно говоря, обложку выглядит нормально только на фото, вживую материал плохой. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000274;По итогу, очень легкий и хлипкий товар, ожидала более плотный материал. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000275;В моем случае, ткань грубая и колется, носить неприятно. Такое не устроило.;"[""Низкое качество материала""]"
ex_000276;Материал быстро мнется и теряет вид.;"[""Низкое качество материала""]"
ex_000277;К сожалению, пластик хлипкий, гнется в руках, качество слабое. Возврат.;"[""Низкое качество материала""]"
ex_000278;Честно говоря, качество не понравилось: все тонкое, рыхлое, ненадежное. Больше не закажу.;"[""Низкое качество материала""]"
ex_000279;По итогу, поверхность неприятная на ощупь, качество совсем среднее. Очень жаль.;"[""Низкое качество материала""]"
ex_000280;В моем случае, сборка слабая, детали люфтят, ощущается дешевым товаром. Для меня это минус.;"[""Низкое качество материала""]"
ex_000281;Края обработаны плохо, видны кривые строчки. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000282;К сожалению, швы кривые, нитки торчат, сделано неаккуратно. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000283;Честно говоря, после пары использований появились катышки и затяжки. Такое не устроило.;"[""Низкое качество материала""]"
ex_000284;По итогу, материал у куртки очень тонкий и неприятный, выглядит дешево.;"[""Низкое качество материала""]"
ex_000285;В моем случае, рюкзак выглядит нормально только на фото, вживую материал плохой. Возврат.;"[""Низкое качество материала""]"
ex_000286;Очень легкий и хлипкий товар, ожидала более плотный материал. Больше не закажу.;"[""Низкое качество материала""]"
ex_000287;К сожалению, ткань грубая и колется, носить неприятно. Очень жаль.;"[""Низкое качество материала""]"
ex_000288;Честно говоря, материал быстро мнется и теряет вид. Для меня это минус.;"[""Низкое качество материала""]"
ex_000289;По итогу, пластик хлипкий, гнется в руках, качество слабое. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000290;В моем случае, качество не понравилось: все тонкое, рыхлое, ненадежное. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000291;Поверхность неприятная на ощупь, качество совсем среднее. Такое не устроило.;"[""Низкое качество материала""]"
ex_000292;К сожалению, сборка слабая, детали люфтят, ощущается дешевым товаром.;"[""Низкое качество материала""]"
ex_000293;Честно говоря, края обработаны плохо, видны кривые строчки. Возврат.;"[""Низкое качество материала""]"
ex_000294;По итогу, швы кривые, нитки торчат, сделано неаккуратно. Больше не закажу.;"[""Низкое качество материала""]"
ex_000295;В моем случае, после пары использований появились катышки и затяжки. Очень жаль.;"[""Низкое качество материала""]"
ex_000296;Материал у крема очень тонкий и неприятный, выглядит дешево. Для меня это минус.;"[""Низкое качество материала""]"
ex_000297;К сожалению, шампунь выглядит нормально только на фото, вживую материал плохой. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000298;Честно говоря, очень легкий и хлипкий товар, ожидала более плотный материал. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000299;По итогу, ткань грубая и колется, носить неприятно. Такое не устроило.;"[""Низкое качество материала""]"
ex_000300;В моем случае, материал быстро мнется и теряет вид.;"[""Низкое качество материала""]"
ex_000301;Пластик хлипкий, гнется в руках, качество слабое. Возврат.;"[""Низкое качество материала""]"
ex_000302;К сожалению, качество не понравилось: все тонкое, рыхлое, ненадежное. Больше не закажу.;"[""Низкое качество материала""]"
ex_000303;Честно говоря, поверхность неприятная на ощупь, качество совсем среднее. Очень жаль.;"[""Низкое качество материала""]"
ex_000304;По итогу, сборка слабая, детали люфтят, ощущается дешевым товаром. Для меня это минус.;"[""Низкое качество материала""]"
ex_000305;В моем случае, края обработаны плохо, видны кривые строчки. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000306;Швы кривые, нитки торчат, сделано неаккуратно. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000307;К сожалению, после пары использований появились катышки и затяжки. Такое не устроило.;"[""Низкое качество материала""]"
ex_000308;Честно говоря, материал у перчаток очень тонкий и неприятный, выглядит дешево.;"[""Низкое качество материала""]"
ex_000309;По итогу, шапку выглядит нормально только на фото, вживую материал плохой. Возврат.;"[""Низкое качество материала""]"
ex_000310;В моем случае, очень легкий и хлипкий товар, ожидала более плотный материал. Больше не закажу.;"[""Низкое качество материала""]"
ex_000311;Ткань грубая и колется, носить неприятно. Очень жаль.;"[""Низкое качество материала""]"
ex_000312;К сожалению, материал быстро мнется и теряет вид. Для меня это минус.;"[""Низкое качество материала""]"
ex_000313;Честно говоря, пластик хлипкий, гнется в руках, качество слабое. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000314;По итогу, качество не понравилось: все тонкое, рыхлое, ненадежное. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000315;В моем случае, поверхность неприятная на ощупь, качество совсем среднее. Такое не устроило.;"[""Низкое качество материала""]"
ex_000316;Сборка слабая, детали люфтят, ощущается дешевым товаром.;"[""Низкое качество материала""]"
ex_000317;К сожалению, края обработаны плохо, видны кривые строчки. Возврат.;"[""Низкое качество материала""]"
ex_000318;Честно говоря, швы кривые, нитки торчат, сделано неаккуратно. Больше не закажу.;"[""Низкое качество материала""]"
ex_000319;По итогу, после пары использований появились катышки и затяжки. Очень жаль.;"[""Низкое качество материала""]"
ex_000320;В моем случае, материал у подставки очень тонкий и неприятный, выглядит дешево. Для меня это минус.;"[""Низкое качество материала""]"
ex_000321;Форму для выпечки выглядит нормально только на фото, вживую материал плохой. Ожидала лучше.;"[""Низкое качество материала""]"
ex_000322;К сожалению, очень легкий и хлипкий товар, ожидала более плотный материал. Настроение испорчено.;"[""Низкое качество материала""]"
ex_000323;Заказала свой размер, но платье сильно маломерит.;"[""Проблема с размером / посадкой""]"
ex_000324;К сожалению, ремешок оказался коротким, застегнуть нормально не получилось. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000325;Честно говоря, размер вроде мой, но посадка совсем неудачная. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000326;По итогу, размер не совпал, в талии тесно, пришлось оформить возврат. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000327;В моем случае, оказалось меньше, чем ожидала, пользоваться неудобно. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000328;Пижаму оказалась намного больше, чем нужно. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000329;К сожалению, на рост 170 вещь слишком короткая. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000330;Честно говоря, крышка не налезла на контейнер, размер не тот. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000331;По итогу, для моего телефона носки не подошел, отверстия не совпадают.;"[""Проблема с размером / посадкой""]"
ex_000332;В моем случае, форма не подошла, сидит странно и давит. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000333;По посадке не подошло: сидит неудобно и топорщится. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000334;К сожалению, в плечах очень узко, хотя брала по таблице размеров. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000335;Честно говоря, заказала свой размер, но ремешок для часов сильно маломерит. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000336;По итогу, ремешок оказался коротким, застегнуть нормально не получилось. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000337;В моем случае, размер вроде мой, но посадка совсем неудачная. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000338;Размер не совпал, в талии тесно, пришлось оформить возврат. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000339;К сожалению, оказалось меньше, чем ожидала, пользоваться неудобно.;"[""Проблема с размером / посадкой""]"
ex_000340;Честно говоря, крышку для контейнера оказалась намного больше, чем нужно. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000341;По итогу, на рост 170 вещь слишком короткая. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000342;В моем случае, крышка не налезла на контейнер, размер не тот. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000343;Для моего телефона платье не подошел, отверстия не совпадают. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000344;К сожалению, форма не подошла, сидит странно и давит. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000345;Честно говоря, по посадке не подошло: сидит неудобно и топорщится. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000346;По итогу, в плечах очень узко, хотя брала по таблице размеров. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000347;В моем случае, заказала свой размер, но куртку сильно маломерит.;"[""Проблема с размером / посадкой""]"
ex_000348;Ремешок оказался коротким, застегнуть нормально не получилось. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000349;К сожалению, размер вроде мой, но посадка совсем неудачная. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000350;Честно говоря, размер не совпал, в талии тесно, пришлось оформить возврат. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000351;По итогу, оказалось меньше, чем ожидала, пользоваться неудобно. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000352;В моем случае, кольцо оказалась намного больше, чем нужно. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000353;На рост 170 вещь слишком короткая. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000354;К сожалению, крышка не налезла на контейнер, размер не тот. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000355;Честно говоря, для моего телефона ремешок для часов не подошел, отверстия не совпадают.;"[""Проблема с размером / посадкой""]"
ex_000356;По итогу, форма не подошла, сидит странно и давит. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000357;В моем случае, по посадке не подошло: сидит неудобно и топорщится. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000358;В плечах очень узко, хотя брала по таблице размеров. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000359;К сожалению, заказала свой размер, но насадку сильно маломерит. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000360;Честно говоря, ремешок оказался коротким, застегнуть нормально не получилось. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000361;По итогу, размер вроде мой, но посадка совсем неудачная. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000362;В моем случае, размер не совпал, в талии тесно, пришлось оформить возврат. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000363;Оказалось меньше, чем ожидала, пользоваться неудобно.;"[""Проблема с размером / посадкой""]"
ex_000364;К сожалению, футболку оказалась намного больше, чем нужно. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000365;Честно говоря, на рост 170 вещь слишком короткая. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000366;По итогу, крышка не налезла на контейнер, размер не тот. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000367;В моем случае, для моего телефона куртку не подошел, отверстия не совпадают. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000368;Форма не подошла, сидит странно и давит. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000369;К сожалению, по посадке не подошло: сидит неудобно и топорщится. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000370;Честно говоря, в плечах очень узко, хотя брала по таблице размеров. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000371;По итогу, заказала свой размер, но носки сильно маломерит.;"[""Проблема с размером / посадкой""]"
ex_000372;В моем случае, ремешок оказался коротким, застегнуть нормально не получилось. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000373;Размер вроде мой, но посадка совсем неудачная. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000374;К сожалению, размер не совпал, в талии тесно, пришлось оформить возврат. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000375;Честно говоря, оказалось меньше, чем ожидала, пользоваться неудобно. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000376;По итогу, коврик оказалась намного больше, чем нужно. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000377;В моем случае, на рост 170 вещь слишком короткая. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000378;Крышка не налезла на контейнер, размер не тот. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000379;К сожалению, для моего телефона насадку не подошел, отверстия не совпадают.;"[""Проблема с размером / посадкой""]"
ex_000380;Честно говоря, форма не подошла, сидит странно и давит. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000381;По итогу, по посадке не подошло: сидит неудобно и топорщится. Больше не закажу.;"[""Проблема с размером / посадкой""]"
ex_000382;В моем случае, в плечах очень узко, хотя брала по таблице размеров. Очень жаль.;"[""Проблема с размером / посадкой""]"
ex_000383;Заказала свой размер, но платье сильно маломерит. Для меня это минус.;"[""Проблема с размером / посадкой""]"
ex_000384;К сожалению, ремешок оказался коротким, застегнуть нормально не получилось. Ожидала лучше.;"[""Проблема с размером / посадкой""]"
ex_000385;Честно говоря, размер вроде мой, но посадка совсем неудачная. Настроение испорчено.;"[""Проблема с размером / посадкой""]"
ex_000386;По итогу, размер не совпал, в талии тесно, пришлось оформить возврат. Такое не устроило.;"[""Проблема с размером / посадкой""]"
ex_000387;В моем случае, оказалось меньше, чем ожидала, пользоваться неудобно.;"[""Проблема с размером / посадкой""]"
ex_000388;Пижаму оказалась намного больше, чем нужно. Возврат.;"[""Проблема с размером / посадкой""]"
ex_000389;В карточке указан один цвет, а пришел совсем другой оттенок.;"[""Несоответствие описанию""]"
ex_000390;К сожалению, на фото комплект из нескольких штук, пришла только одна позиция. Возврат.;"[""Несоответствие описанию""]"
ex_000391;Честно говоря, товар отличается от изображения, форма совсем другая. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000392;По итогу, заказывала модель как на картинке, пришла другая. Очень жаль.;"[""Несоответствие описанию""]"
ex_000393;В моем случае, цвет на фото был бежевый, пришел серый. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000394;На фото товар матовый, а вживую блестящий и выглядит иначе. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000395;К сожалению, описание вводит в заблуждение: размер в карточке указан другой. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000396;Честно говоря, в описании указана металлическая основа, а пришел пластик. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000397;По итогу, характеристики в карточке не совпадают с тем, что прислали.;"[""Несоответствие описанию""]"
ex_000398;В моем случае, в карточке обещали влагозащиту, на упаковке этого нет. Возврат.;"[""Несоответствие описанию""]"
ex_000399;В описании написано хлопок, по факту чистая синтетика. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000400;К сожалению, заявлен плотный материал, а пришел совсем тонкий. Очень жаль.;"[""Несоответствие описанию""]"
ex_000401;Честно говоря, в карточке указан один цвет, а пришел совсем другой оттенок. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000402;По итогу, на фото комплект из нескольких штук, пришла только одна позиция. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000403;В моем случае, товар отличается от изображения, форма совсем другая. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000404;Заказывала модель как на картинке, пришла другая. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000405;К сожалению, цвет на фото был бежевый, пришел серый.;"[""Несоответствие описанию""]"
ex_000406;Честно говоря, на фото товар матовый, а вживую блестящий и выглядит иначе. Возврат.;"[""Несоответствие описанию""]"
ex_000407;По итогу, описание вводит в заблуждение: размер в карточке указан другой. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000408;В моем случае, в описании указана металлическая основа, а пришел пластик. Очень жаль.;"[""Несоответствие описанию""]"
ex_000409;Характеристики в карточке не совпадают с тем, что прислали. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000410;К сожалению, в карточке обещали влагозащиту, на упаковке этого нет. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000411;Честно говоря, в описании написано хлопок, по факту чистая синтетика. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000412;По итогу, заявлен плотный материал, а пришел совсем тонкий. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000413;В моем случае, в карточке указан один цвет, а пришел совсем другой оттенок.;"[""Несоответствие описанию""]"
ex_000414;На фото комплект из нескольких штук, пришла только одна позиция. Возврат.;"[""Несоответствие описанию""]"
ex_000415;К сожалению, товар отличается от изображения, форма совсем другая. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000416;Честно говоря, заказывала модель как на картинке, пришла другая. Очень жаль.;"[""Несоответствие описанию""]"
ex_000417;По итогу, цвет на фото был бежевый, пришел серый. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000418;В моем случае, на фото товар матовый, а вживую блестящий и выглядит иначе. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000419;Описание вводит в заблуждение: размер в карточке указан другой. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000420;К сожалению, в описании указана металлическая основа, а пришел пластик. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000421;Честно говоря, характеристики в карточке не совпадают с тем, что прислали.;"[""Несоответствие описанию""]"
ex_000422;По итогу, в карточке обещали влагозащиту, на упаковке этого нет. Возврат.;"[""Несоответствие описанию""]"
ex_000423;В моем случае, в описании написано хлопок, по факту чистая синтетика. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000424;Заявлен плотный материал, а пришел совсем тонкий. Очень жаль.;"[""Несоответствие описанию""]"
ex_000425;К сожалению, в карточке указан один цвет, а пришел совсем другой оттенок. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000426;Честно говоря, на фото комплект из нескольких штук, пришла только одна позиция. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000427;По итогу, товар отличается от изображения, форма совсем другая. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000428;В моем случае, заказывала модель как на картинке, пришла другая. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000429;Цвет на фото был бежевый, пришел серый.;"[""Несоответствие описанию""]"
ex_000430;К сожалению, на фото товар матовый, а вживую блестящий и выглядит иначе. Возврат.;"[""Несоответствие описанию""]"
ex_000431;Честно говоря, описание вводит в заблуждение: размер в карточке указан другой. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000432;По итогу, в описании указана металлическая основа, а пришел пластик. Очень жаль.;"[""Несоответствие описанию""]"
ex_000433;В моем случае, характеристики в карточке не совпадают с тем, что прислали. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000434;В карточке обещали влагозащиту, на упаковке этого нет. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000435;К сожалению, в описании написано хлопок, по факту чистая синтетика. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000436;Честно говоря, заявлен плотный материал, а пришел совсем тонкий. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000437;По итогу, в карточке указан один цвет, а пришел совсем другой оттенок.;"[""Несоответствие описанию""]"
ex_000438;В моем случае, на фото комплект из нескольких штук, пришла только одна позиция. Возврат.;"[""Несоответствие описанию""]"
ex_000439;Товар отличается от изображения, форма совсем другая. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000440;К сожалению, заказывала модель как на картинке, пришла другая. Очень жаль.;"[""Несоответствие описанию""]"
ex_000441;Честно говоря, цвет на фото был бежевый, пришел серый. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000442;По итогу, на фото товар матовый, а вживую блестящий и выглядит иначе. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000443;В моем случае, описание вводит в заблуждение: размер в карточке указан другой. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000444;В описании указана металлическая основа, а пришел пластик. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000445;К сожалению, характеристики в карточке не совпадают с тем, что прислали.;"[""Несоответствие описанию""]"
ex_000446;Честно говоря, в карточке обещали влагозащиту, на упаковке этого нет. Возврат.;"[""Несоответствие описанию""]"
ex_000447;По итогу, в описании написано хлопок, по факту чистая синтетика. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000448;В моем случае, заявлен плотный материал, а пришел совсем тонкий. Очень жаль.;"[""Несоответствие описанию""]"
ex_000449;В карточке указан один цвет, а пришел совсем другой оттенок. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000450;К сожалению, на фото комплект из нескольких штук, пришла только одна позиция. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000451;Честно говоря, товар отличается от изображения, форма совсем другая. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000452;По итогу, заказывала модель как на картинке, пришла другая. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000453;В моем случае, цвет на фото был бежевый, пришел серый.;"[""Несоответствие описанию""]"
ex_000454;На фото товар матовый, а вживую блестящий и выглядит иначе. Возврат.;"[""Несоответствие описанию""]"
ex_000455;К сожалению, описание вводит в заблуждение: размер в карточке указан другой. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000456;Честно говоря, в описании указана металлическая основа, а пришел пластик. Очень жаль.;"[""Несоответствие описанию""]"
ex_000457;По итогу, характеристики в карточке не совпадают с тем, что прислали. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000458;В моем случае, в карточке обещали влагозащиту, на упаковке этого нет. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000459;В описании написано хлопок, по факту чистая синтетика. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000460;К сожалению, заявлен плотный материал, а пришел совсем тонкий. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000461;Честно говоря, в карточке указан один цвет, а пришел совсем другой оттенок.;"[""Несоответствие описанию""]"
ex_000462;По итогу, на фото комплект из нескольких штук, пришла только одна позиция. Возврат.;"[""Несоответствие описанию""]"
ex_000463;В моем случае, товар отличается от изображения, форма совсем другая. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000464;Заказывала модель как на картинке, пришла другая. Очень жаль.;"[""Несоответствие описанию""]"
ex_000465;К сожалению, цвет на фото был бежевый, пришел серый. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000466;Честно говоря, на фото товар матовый, а вживую блестящий и выглядит иначе. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000467;По итогу, описание вводит в заблуждение: размер в карточке указан другой. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000468;В моем случае, в описании указана металлическая основа, а пришел пластик. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000469;Характеристики в карточке не совпадают с тем, что прислали.;"[""Несоответствие описанию""]"
ex_000470;К сожалению, в карточке обещали влагозащиту, на упаковке этого нет. Возврат.;"[""Несоответствие описанию""]"
ex_000471;Честно говоря, в описании написано хлопок, по факту чистая синтетика. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000472;По итогу, заявлен плотный материал, а пришел совсем тонкий. Очень жаль.;"[""Несоответствие описанию""]"
ex_000473;В моем случае, в карточке указан один цвет, а пришел совсем другой оттенок. Для меня это минус.;"[""Несоответствие описанию""]"
ex_000474;На фото комплект из нескольких штук, пришла только одна позиция. Ожидала лучше.;"[""Несоответствие описанию""]"
ex_000475;К сожалению, товар отличается от изображения, форма совсем другая. Настроение испорчено.;"[""Несоответствие описанию""]"
ex_000476;Честно говоря, заказывала модель как на картинке, пришла другая. Такое не устроило.;"[""Несоответствие описанию""]"
ex_000477;По итогу, цвет на фото был бежевый, пришел серый.;"[""Несоответствие описанию""]"
ex_000478;В моем случае, на фото товар матовый, а вживую блестящий и выглядит иначе. Возврат.;"[""Несоответствие описанию""]"
ex_000479;Описание вводит в заблуждение: размер в карточке указан другой. Больше не закажу.;"[""Несоответствие описанию""]"
ex_000480;К сожалению, в описании указана металлическая основа, а пришел пластик. Очень жаль.;"[""Несоответствие описанию""]"
ex_000481;Честно говоря, характеристики в карточке не совпадают с тем, что прислали. Для меня это минус.;"[""Несоответствие описанию""]"
